,Date,Open,High,Low,Close,Adj Close,Volume
0,2023-05-29,9250.0,9250.0,9075.0,9150.0,9150.0,79148200
1,2023-05-30,9200.0,9325.0,9150.0,9250.0,9250.0,97189500
2,2023-05-31,9300.0,9325.0,9050.0,9050.0,9050.0,722827900
3,2023-06-05,9150.0,9325.0,9100.0,9200.0,9200.0,163535600
4,2023-06-06,9050.0,9200.0,9050.0,9150.0,9150.0,74872200
5,2023-06-07,9125.0,9175.0,9075.0,9100.0,9100.0,87492200
6,2023-06-08,9075.0,9125.0,9075.0,9125.0,9125.0,53188400
7,2023-06-09,9175.0,9175.0,9100.0,9100.0,9100.0,44632400
8,2023-06-12,9150.0,9150.0,9100.0,9150.0,9150.0,38082300
9,2023-06-13,9175.0,9175.0,9100.0,9150.0,9150.0,45552600
10,2023-06-14,9100.0,9125.0,9050.0,9075.0,9075.0,72223700
11,2023-06-15,9100.0,9100.0,9050.0,9050.0,9050.0,59073000
12,2023-06-16,9100.0,9100.0,8975.0,9050.0,9050.0,112769400
13,2023-06-19,9000.0,9050.0,9000.0,9000.0,9000.0,32330600
14,2023-06-20,9025.0,9050.0,8950.0,9050.0,9050.0,54990100
15,2023-06-21,9050.0,9125.0,9000.0,9125.0,9125.0,42676300
16,2023-06-22,9125.0,9150.0,9050.0,9050.0,9050.0,48291100
17,2023-06-23,9025.0,9150.0,9025.0,9050.0,9050.0,47813500
18,2023-06-26,9025.0,9125.0,9025.0,9075.0,9075.0,36389900
19,2023-06-27,9050.0,9150.0,9050.0,9150.0,9150.0,36225100
20,2023-07-03,9025.0,9075.0,9025.0,9075.0,9075.0,108855900
21,2023-07-04,9150.0,9150.0,9050.0,9050.0,9050.0,35049300
22,2023-07-05,9050.0,9075.0,9025.0,9050.0,9050.0,44609200
23,2023-07-06,9050.0,9100.0,9025.0,9075.0,9075.0,52532400
24,2023-07-07,9025.0,9100.0,9025.0,9025.0,9025.0,37641300
25,2023-07-10,9100.0,9100.0,9050.0,9050.0,9050.0,28981500
26,2023-07-11,9100.0,9100.0,9025.0,9025.0,9025.0,43703500
27,2023-07-12,9075.0,9175.0,9050.0,9175.0,9175.0,61566500
28,2023-07-13,9200.0,9225.0,9125.0,9125.0,9125.0,65230900
29,2023-07-14,9175.0,9200.0,9125.0,9200.0,9200.0,55554500
